"filename","netcdf_variable_name","variable_units","run_name","emission_short_name","model_short_name","start_date","end_date","calendar","time_resolution"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2316/tasmax_aClim_BCCAQv2_GFDL-ESM2G_historical+rcp26_r1i1p1_20100101-20391231_Canada.nc","tasmax","degC","r1i1p1","historical,rcp26","GFDL-ESM2G","2010-01-01 00:00:00","2039-12-31 23:59:59.000005","365_day","yearly"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2316/tasmax_sClim_BCCAQv2_GFDL-ESM2G_historical+rcp26_r1i1p1_19610101-19901231_Canada.nc","tasmax","degC","r1i1p1","historical,rcp26","GFDL-ESM2G","1961-01-01 00:00:00","1990-12-31 23:59:59.000005","365_day","seasonal"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2316/tasmax_sClim_BCCAQv2_GFDL-ESM2G_historical+rcp26_r1i1p1_19810101-20101231_Canada.nc","tasmax","degC","r1i1p1","historical,rcp26","GFDL-ESM2G","1981-01-01 00:00:00","2010-12-31 23:59:59.000005","365_day","seasonal"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_sClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_19810101-20101230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","1981-01-01 00:00:00","2010-12-30 23:59:59.000005","360_day","seasonal"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_sClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_20100101-20391230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","2010-01-01 00:00:00","2039-12-30 23:59:59.000005","360_day","seasonal"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_mClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_19710101-20001230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","1971-01-01 00:00:00","2000-12-30 23:59:59.000005","360_day","monthly"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_mClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_20400101-20691230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","2040-01-01 00:00:00","2069-12-30 23:59:59.000005","360_day","monthly"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_sClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_19710101-20001230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","1971-01-01 00:00:00","2000-12-30 23:59:59.000005","360_day","seasonal"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_aClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_19610101-19901230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","1961-01-01 00:00:00","1990-12-30 23:59:59.000005","360_day","yearly"
"/storage/data/projects/comp_support/climate_explorer_data_prep/climatological_means/downscale/output/2424/tasmin_aClim_BCCAQv2_HadGEM2-AO_historical+rcp26_r1i1p1_19810101-20101230_Canada.nc","tasmin","degC","r1i1p1","historical,rcp26","HadGEM2-AO","1981-01-01 00:00:00","2010-12-30 23:59:59.000005","360_day","yearly"
